"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2063462";"";"None";"419.42";"0";"3.02";"5d";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"IC50";"'='";"67.0";"nM";"7.17";"";"";"UO_0000065";"17.10";"0.32";"4.15";"5.67";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"67.0"
"CHEMBL2063459";"";"None";"435.88";"0";"3.54";"5a";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(Cl)cc4)c3)c12";"IC50";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"16.83";"0.32";"3.80";"5.80";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"46.0"
"CHEMBL2063464";"";"None";"401.43";"0";"3.52";"5f";"Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3ccn4ncnc(N)c34)cc2)c1";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"18.48";"0.34";"3.90";"5.87";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"38.0"
"CHEMBL2063460";"";"None";"469.43";"0";"3.90";"5b";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"IC50";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"16.23";"0.31";"3.72";"6.03";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"24.0"
"CHEMBL2063453";"";"None";"485.49";"1";"5.47";"3b";"Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"EC15";"'='";"18.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"18.0"
"CHEMBL2063467";"";"None";"393.43";"0";"3.27";"5j";"Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccsc4)cc3)c12";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"20.58";"0.39";"4.83";"6.40";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"8.0"
"CHEMBL2063467";"";"None";"393.43";"0";"3.27";"5j";"Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccsc4)cc3)c12";"EC15";"'='";"6.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"6.0"
"CHEMBL2063443";"";"None";"415.45";"0";"4.29";"2g";"Cc1ccc(NC(=O)NCc2cccc(NC(=O)c3cccc4onc(N)c34)c2)cc1";"EC15";"'='";"1.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"1.0"
"CHEMBL2063461";"";"None";"415.46";"0";"3.19";"5c";"Cc1ccc(NC(=O)NCc2cccc(NC(=O)c3ccn4ncnc(N)c34)c2)cc1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"21.66";"0.40";"5.81";"7.12";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"1.0"
"CHEMBL2063446";"";"None";"419.42";"0";"4.12";"2j";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"AUC";"'='";"5.0";"uM.hr/ml";"";"";"";"";"";"";"";"";"0";"CHEMBL2064949";"AUC in mouse at 10 mg/kg, po";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3559721";"Plasma";"None";"None";"DOSE = 10.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"5.0"
"CHEMBL2063448";"";"None";"437.41";"0";"4.26";"2l";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"Vd";"'='";"0.96";"L.kg-1";"";"";"";"UO_0000197";"";"";"";"";"0";"CHEMBL2064946";"Volume of distribution in mouse at 3 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.96"
"CHEMBL2063446";"";"None";"419.42";"0";"4.12";"2j";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"CL";"'='";"8.833";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2064947";"Clearance in mouse at 3 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.53"
"CHEMBL2063446";"";"None";"419.42";"0";"4.12";"2j";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"F";"'='";"28.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2064950";"Oral bioavailability in mouse at 10 mg/kg";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"28.0"
"CHEMBL2063456";"";"None";"436.42";"0";"4.00";"4b";"Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"Ratio IC50";"'='";"58.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"58.0"
"CHEMBL2063443";"";"None";"415.45";"0";"4.29";"2g";"Cc1ccc(NC(=O)NCc2cccc(NC(=O)c3cccc4onc(N)c34)c2)cc1";"Ratio IC50";"'='";"146.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"146.0"
"CHEMBL2063453";"";"None";"485.49";"1";"5.47";"3b";"Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"Ratio IC50";"'='";"1042.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"1042.0"
"CHEMBL2063465";"";"None";"405.39";"0";"3.35";"5h";"Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12";"IC50";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"18.36";"0.34";"4.09";"5.89";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"36.0"
"CHEMBL2063447";"";"None";"469.42";"1";"5.00";"2k";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"16.87";"0.32";"2.92";"6.48";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"12.0"
"CHEMBL2063448";"";"None";"437.41";"0";"4.26";"2l";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"18.64";"0.35";"3.89";"6.67";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"7.0"
"CHEMBL2063447";"";"None";"469.42";"1";"5.00";"2k";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"T1/2";"'='";"1.3";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL2064948";"Distribution half life in mouse at 3 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"1.3"
"CHEMBL2063458";"";"None";"482.47";"0";"4.75";"4d";"Cn1nc(N)c2c(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)cccc21";"EC15";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";""
"CHEMBL2063445";"";"None";"419.42";"0";"4.12";"2i";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4F)c3)c12";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"17.31";"0.32";"3.14";"5.94";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"55.0"
"CHEMBL2063441";"";"None";"401.43";"0";"3.98";"2e";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4)c3)c12";"EC15";"'='";"47.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"47.0"
"CHEMBL2063455";"";"None";"418.43";"0";"3.86";"4a";"Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"Ratio IC50";"'='";"71.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"71.0"
"CHEMBL2063448";"";"None";"437.41";"0";"4.26";"2l";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"Ratio IC50";"'='";"696.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"696.0"
"CHEMBL1986658";"";"None";"435.48";"0";"4.59";"SID103905225";"Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"Ki";"'>'";"100000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963813";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CDC2L6";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6002";"Cyclin-dependent kinase 19";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"4.0"
"CHEMBL2063462";"";"None";"419.42";"0";"3.02";"5d";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"Ratio IC50";"'='";"16.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"16.0"
"CHEMBL2063442";"";"None";"419.42";"0";"4.12";"2f";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)cc4)c3)c12";"EC15";"'='";"30.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"30.0"
"CHEMBL2063448";"";"None";"437.41";"0";"4.26";"2l";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"EC15";"'='";"15.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"15.0"
"CHEMBL2063460";"";"None";"469.43";"0";"3.90";"5b";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"Ratio IC50";"'='";"33.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"33.0"
"CHEMBL2063457";"";"None";"432.46";"0";"3.87";"4c";"Cn1nc(N)c2c(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)cccc21";"Ratio IC50";"'='";"13.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"13.0"
"CHEMBL2063445";"";"None";"419.42";"0";"4.12";"2i";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4F)c3)c12";"IC50";"'>'";"12500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"12500.0"
"CHEMBL2063438";"";"None";"405.39";"0";"4.45";"2b";"Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12";"IC50";"'='";"480.0";"nM";"6.32";"";"";"UO_0000065";"15.59";"0.29";"1.87";"5.17";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"480.0"
"CHEMBL2063440";"";"None";"421.84";"0";"4.96";"2d";"Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c12";"IC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"16.25";"0.31";"1.89";"5.61";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"140.0"
"CHEMBL1986658";"";"None";"435.48";"0";"4.59";"3a";"Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"16.77";"0.32";"2.71";"6.69";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"50.0"
"CHEMBL2063463";"";"None";"435.88";"0";"3.54";"5e";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(Cl)c4)c3)c12";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"18.35";"0.35";"4.46";"6.33";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"10.0"
"CHEMBL2063447";"";"None";"469.42";"1";"5.00";"2k";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12";"F";"'='";"77.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2064950";"Oral bioavailability in mouse at 10 mg/kg";"A";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL375";"Mus musculus";"Mus musculus";"ORGANISM";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"77.0"
"CHEMBL2063439";"";"None";"401.43";"0";"4.61";"2c";"Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3cccc4onc(N)c34)cc2)cc1";"EC15";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";""
"CHEMBL2063446";"";"None";"419.42";"0";"4.12";"2j";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"Ratio IC50";"'='";"54.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"54.0"
"CHEMBL2063441";"";"None";"401.43";"0";"3.98";"2e";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4)c3)c12";"Ratio IC50";"'='";"210.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"210.0"
"CHEMBL2063440";"";"None";"421.84";"0";"4.96";"2d";"Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c12";"Ratio IC50";"'>'";"89.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"89.0"
